year,tier,company_name,job_title,internship_stipend_raw,base_salary_raw,total_ctc_raw,cgpa_cutoff_raw,fte_only,remarks,internship_stipend,base_salary,total_ctc,cgpa_cutoff,has_internship,has_base,has_ctc,has_cgpa_cutoff,ctc_to_base_ratio,timestamp
2025,Tier 1,Jar App,Software Development Engineer - 1,35000.0,,10,7.5,,,0.35,,10.0,7.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Phillips,Software Engineer,45000.0,,11.5,7,,,0.45,,11.5,7.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Physics Wallah,Software Development Trainee,35000.0,,,7,,,0.35,,,7.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Zeta,Software Development Engineer,,,14.4,8,,,,,14.4,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Lowe's,Associate Software Engineer,,,14.15,6,,,,,14.15,6.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Flipkart,Software Development Engineer - 1,100000.0,,18,,,,1.0,,18.0,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Eightfold.ai,Product Solutions Expert - 1,,,16.38,8,,,,,16.38,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Gajabuja,Associate Software Engineer,,,10,,,,,,10.0,,False,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Nike,Software Engineer - 1,,,13.85,7,,,,,13.85,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,NetApp,Software Engineer (Cloud),,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Lemnisk,Software Engineer - 1,,,6,8,,,,,6.0,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Talkdesk,,100000.0,,12,6,,,1.0,,12.0,6.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Expedia Group,Software Development Engineer - 1,,,15,7.5,,,,,15.0,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,BigEndian Semiconductors,ASIC Developer,,,10,7.5,,,,,10.0,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Morgan Stanley,Technology Analyst,,,13,7.5,,,,,13.0,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Flexera,Software Engineer,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,RapidClaims,Data Scientist,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,SAIGroup,Software Development Engineer,,,20,,,,,,20.0,,False,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Kraftx.ai,Frontend Developer,,,12,8.5,,,,,12.0,8.5,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,DocNexus,AI Engineer,,,45?,7,,,,,45.0,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,NextAlphaAi.com,Data Engineer,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Connectex,,30000.0,,10,,,,0.3,,10.0,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,S&P Global,Software Engineer,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Lenovo,AI Experiences Engineer,,,,7.5,,,,,,7.5,False,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Infosys,Specialist Programmer,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Bluebird,Software Engineer,25000.0,,6,7.0,,,0.25,,6.0,7.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Bain,Analyst,40000.0,,9.9,6.0,,,0.4,,9.9,6.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Deloitte,Analyst - Analytics & Technology,,,6,6.0,,,,,6.0,6.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Deloitte India,ET&P Oracle - Analyst,25000.0,,6,,,,0.25,,6.0,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Eurofins,Associate Software Engineer,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Tejas Networks,NMS,30000.0,,8.97,,,,0.3,,8.97,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Toshiba Software,Associate Software Engineer,45000.0,,10,7.0,,,0.45,,10.0,7.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,KPMG,Digital Solns. - Digital Next,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Dover,Software Engineer,25000.0,,,8.0,,,0.25,,,8.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Telstra,,,,9.43,,,,,,9.43,,False,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Crestron,,30000.0,,,8.0,,,0.3,,,8.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Broadridge,,30000.0,,,7.0,,,0.3,,,7.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Conga,,12000.0,,,,,,0.12,,,,True,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 2,IDfy,,25000.0,,,6.0,,,0.25,,,6.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Jones Lang Lasalle Technologies,,35000.0,,,8.0,,,0.35,,,8.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Aptiv,,25000.0,,,7.0,,,0.25,,,7.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Consilio,Associate,,,5,,,,,,5.0,,False,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 2,AstraZeneca,,25000.0,,,,,,0.25,,,,True,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Nouveau Labs,Software Engineer,25000.0,,,,,,0.25,,,,True,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 2,Bounteous x Accolite,,20000.0,,,6.0,,,0.2,,,6.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Havells India Limited,IoT and Software Roles,25000.0,,8,6.5,,,0.25,,8.0,6.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,HP,GIT Role,30000.0,,,,,,0.3,,,,True,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 2,EY India,,,,7.5,6.5,,,,,7.5,6.5,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Celstream,Software Engineer,30000.0,,,,,,0.3,,,,True,False,False,False,,2025-11-20 12:24:21.034360
