Blue - ONCAMPUS tests,,,,"Tier1 (T1) Offers - >12 Lpa CTC, Once Offer given student has to opt out from Placements EXCEPT for DREAM Offers (>60lpa) which will be mentioned in mail",,,,,,,,
Yellow - Resume Shortlisting / No OA - Direct Interview,,,,"Tier2 (T2) Offer - >=6 & <12 Lpa, Student with this offer can continue to sit for T1 Companies (while holding this offer)",,,,,,,,
Green - Dream Offer (>60lpa),,,,"Tier3 (T3) Offer - < 6 Lpa, Student can sit for T2 & T1 Companies (while holding this offer)",,,,,,,,
Red - Mass Hirers ( >= 20 offers),,,,"Dream Offer - >60 LPA, Every student who clears company eligibility is allowed to sit for these, irrespective of having any Offer.",,,,,,,,
Purple - Companies which returned Back for another round of Hiring ,,,,,,,,,,,,
T1 (FTE+Intern) Offers (People with Single Offers),,,,342,,Total Offers,,,844,,,
"Other Offers (People with Multiple Offers, can continue to sit for placements)",,,,502,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Company,Date of OA,Offline Test,Tier,CTC,Role,Type,Total Offers,CGPA cutoff,Allows ECE,MCA,MTech (CS),Any comments/questions/topics asked 
Applied Materials,17/10/24,FALSE,Tier 1,"17 CTC (9 Base, 6L Stocks), 37k Intern",IT Solutions Management,FTE + Intern,2,8.25+,FALSE,FALSE,FALSE,
Aptiv (T2),9/11/24,FALSE,Tier 2,"8.5 LPA, 25k intern",Associate Embedded Software Engineer,FTE + Intern,,8+,FALSE,FALSE,FALSE,
DataCore Software,23/10/24,FALSE,Tier 1,35k Intern,Software Intern,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
InvisAlign India (Align Technologies),6/10/24,FALSE,Tier 1,50k Intern,"DevOps, Backend, Web Dev",Internship (PBC),,,FALSE,FALSE,FALSE,All Roles in HYDERABAD
WayFair ,10/10/24,FALSE,Tier 1,75k Intern,Software Engineering Intern,Internship (PBC),,,FALSE,FALSE,FALSE,
AstraZeneca (T2),28/10/24,FALSE,Tier 2,"8.43 CTC, 25k Intern",Statistical Programmer I,FTE,5,8.2+,FALSE,FALSE,FALSE,Shortlisted 72 Students for Test (above 8.2 CGPA)
Infosys (T3),12/11/24,FALSE,Tier 3,3.6 CTC,Software Enginer,FTE,,,FALSE,FALSE,FALSE,
Nvidia,12/11/24,FALSE,Tier 1,"29 LPA, 75k intern",Software Intern,Internship (PBC),0,8,FALSE,FALSE,FALSE,
Nouveau Labs,22/10/24,FALSE,Tier 2,"6-9 CTC, 25k Intern","Software Engineer, Python Dev",FTE + Intern,1,,FALSE,FALSE,FALSE,
Amazon ,7/11/24,FALSE,Tier 1,"26 LPA (10L base, 3.5L JB, 9.14L RSU), 50k intern ",AWS Cloud Support Associate,FTE + Intern,1,,FALSE,FALSE,FALSE,
