,,,,,,,
Total Placed (CSE) ,,162,RVCE,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Company,Date of OA,CTC,Type,Offers (CSE only),Role,Any comments/questions/topics asked ,
Swiggy ,18/12/2024,"8-10 LPA, 40k intern",FTE + Internship (PBC) ,2,Data Science ,15 shortlisted ,
DevRev,,"10 LPA, 40k intern",FTE + Internship (PBC) ,0,Software (Only female) ,,
Licious,2/1/2025,"11 LPA, 30k intern",FTE + Internship (PBC) ,0,Front End Analyst Operations,31 shortlisted ,
Polestar Analytics ,11/1/2025,"7.8 LPA, 20k intern",FTE + Internship ,0,Business Intelligence,,
Amuse Labs ,,"22 LPA, 40k intern",FTE + Internship (PBC) ,0,Software Developer/AI and Infra,,
Nike ,16/1/2025 ,"13.45 LPA, 75k intern",FTE + Internship (PBC) ,2,SDE ,15 shortlisted,
Obhan & Associates,31/01/2025,4.5 - 5.5 LPA,FTE,0,Technical Consultant,,
Tesco ,,18 LPA,FTE,0,Software,,
Lumberfi ,,"14 LPA, 55k intern",FTE + Internship (PBC),0,Full Stack Developer ,,
Ascendion,,4-5 LPA,FTE,0,Associate Engineer,,
Airbus,,"11 LPA, 30k intern",FTE + Internship (PBC),0,"Computer Vision Internship, UX Designer Internship ",,
ABB,,12 LPA,FTE,0,Associate Software Engineer - Analytics,,
Prosperr,,"15 LPA, 40k intern",FTE + Internship (PBC) ,1,"Front End Development, Back End Development ",9 shortlisted ,
Greenway Health,,"6-7 LPA, 40-45k intern",FTE + Internship (PBC),0,Trainee/Associate Software Engineer,,
BizAcuity ,,7 LPA,FTE,0,Software Engineer,,
GKN Aerospace,,10 LPA,FTE,0,Graduate Trainee,,
Secon,,"3-4 LPA, 7k intern",FTE + Internship (PBC),0,SDE ,,
Onsemi,,"14.5 LPA + 1.5 L JB, 22k intern",FTE + Internship (PBC),0,Supply Chain,17 shortlisted ,
Serko,,"21.28 LPA, 50k intern",FTE + Internship (PBC) ,0,Software Engineer,7 shortlisted ,
Origin Medical Research Labs,,25-35k intern,FTE + Internship (PBC),0,SDE Intern,,
De Shaw,30/1/2025,56.3-58.3 LPA,FTE,0,SDET,,
E-Litmus,31/01/2025,"9 LPA, 29k intern",FTE + Internship ,0,Associate Consultant,,
media.net,,8 LPA,FTE,0,Associate Web Developer ,,
Cube Finance,,"6-10 LPA, 10-12k intern",FTE + Internship (PBC),0,Business Operations,,
