batch_year,college,company_name,job_role,tier,internship_stipend_monthly,base_salary,total_ctc,num_fte,num_intern,num_fte_intern,cgpa_cutoff,is_internship,has_ctc_data,has_base_data,has_cgpa_data
2022,PES,Newfold Digital,Operations Engineer,Tier-1,50.0,12.0,15.0,,1.0,,,False,True,True,False
2022,PES,Database Administrator,,Tier-1,,,,1.0,,,,False,False,False,False
2022,PES,Slice,SDE - 1,Tier-1,,21.0,23.0,4.0,,,,False,True,True,False
2022,PES,Carl Zeiss,Software Engineer,Tier-1,,9.0,10.0,5.0,,,,False,True,True,False
2022,PES,Computer Vision Engineer,,Tier-1,,,7.0,,,,,False,True,False,False
2022,PES,Genpact,Business Analyst,Tier-1,,9.5,11.4,42.0,,,,False,True,True,False
2022,PES,.Net Developer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Data Scientist,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Java Developer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Phonepe,Software Engineer - Testing,Tier-1,30.0,13.0,18.75,1.0,3.0,,,False,True,True,False
2022,PES,Ather Energy,Graduate Engineer Trainee,Tier-1,,7.0,10.0,2.0,,,,False,True,True,False
2022,PES,Amagi,SDET,Tier-1,,8.0,9.5,,1.0,,,False,True,True,False
2022,PES,Devops,,Tier-1,,,,7.0,,,,False,False,False,False
2022,PES,Dover,Software Engineer,Tier-1,25.0,8.0,11.0,,,,,False,True,True,False
2022,PES,Design Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Anz Operations & Technology,Cloud and Data Engineer,Tier-1,,,9.0,13.0,,,,False,True,False,False
2022,PES,Database Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Infrastructure Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Graduate Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Networks Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Wissen Technology,Analyst,Tier-1,,8.0,11.0,,2.0,,,False,True,True,False
2022,PES,G2.Com,Software Engineer - 1,Tier-1,35.0,,13.0,,3.0,,,False,True,False,False
2022,PES,Infoworks,Software Engineer,Tier-1,60.0,15.7,22.37,,1.0,1.0,,False,True,True,False
2022,PES,Zoom,Security Engineer,Tier-1,,13.75,24.92,,6.0,,,False,True,True,False
2022,PES,Service Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Sre/System Administrator,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Noc Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Devops Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Apple India,Network / Systems Engineer,Tier-1,,,,,,,,False,False,False,False
2022,PES,Oracle Advanced Customer Services,Analyst,Tier-1,,,9.54,15.0,,,,False,True,False,False
2022,PES,Gigsky,Software Engineer,Tier-1,40.0,10.29,13.17,,4.0,,,False,True,True,False
2022,PES,Zopsmart,Software Engineer,Tier-1,,8.54,10.0,,3.0,,,False,True,True,False
2022,PES,Cashfree,SDET,Tier-1,35.0,8.0,10.0,,3.0,,,False,True,True,False
2022,PES,Devops,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Rapido,Associate Product Engineer,Tier-1,,15.0,23.0,,,,,False,True,True,False
2022,PES,Uipath,RA Developer,Tier-1,,9.0,16.2,,,,,False,True,True,False
2022,PES,Perfios,SDE,Tier-1,15.5,,10.0,,1.0,,,False,True,False,False
2022,PES,Byju'S,Software Engineer Trainee - QA,Tier-1,,8.0,10.0,5.0,,,,False,True,True,False
2022,PES,Software Engineer Trainee - Tech,-,Tier-1,12.0,15.0,15.0,,,,,False,True,True,False
2022,PES,Microchip Technology,Protocol System Test Engineer,Tier-1,21.0,,10.6,1.0,10.0,,,False,True,False,False
2022,PES,Application/Firmware Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Grab Greco Llp,Software Engineer,Tier-1,,,17.0,,,,,False,True,False,False
2022,PES,Instabase,Solutions Engineer,Tier-1,1.0,18.0,30.0,,,,,False,True,True,False
2022,PES,Eagleview,Software Engineer 1,Tier-1,,,12.0,,,,,False,True,False,False
2022,PES,Data Science Engineer 1,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Cloud Engineer 1,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Commscope,Software Engineer,Tier-1,,10.0,14.0,,,,,False,True,True,False
2022,PES,Target,Data Engineer,Tier-1,,11.5,13.3,5.0,,,,False,True,True,False
2022,PES,Games24X7,SDE,Tier-1,30.0,,20.0,,11.0,1.0,,False,True,False,False
2022,PES,Yahoo,Associate Software Dev Engineer,Tier-1,,,10.0,,1.0,,,False,True,False,False
2022,PES,Instamojo,Software Engineer,Tier-1,,11.5,15.0,,1.0,,,False,True,True,False
2022,PES,Netapp,Member technical Staff,Tier-1,,13.0,15.0,,,,,False,True,True,False
2022,PES,Nxp Semiconductors,Analog VLSI / DFT Enginee,Tier-1,32.5,,17.5,,,,,False,True,False,False
2022,PES,Tiger Analytics,Analyst - Data Science,Tier-1,30.0,9.0,10.0,,6.0,,,False,True,True,False
2022,PES,Ola,SDE,Tier-1,,9.0,10.0,5.0,,,,False,True,True,False
