Year,College,Company,Date_OA,Offline_Test,Tier,CTC_LPA,Base_LPA,Internship_Stipend_Monthly_INR,Role,Type,Total_Offers,CGPA_Cutoff,Allows_ECE,Allows_MCA,Allows_MTech_CS,Comments,Source_File
2025,PES,GuideWire,18-10-2024,TRUE,Tier 1,,,70000,SDE 1,Internship (PBC),6,8,FALSE,FALSE,FALSE,"12 Shortlisted for Interview, Interview rounds very Basic (Recursion/dp problem asked)",Cross-College companies info - PES.csv
2025,PES,KPMG (T3),21-09-2024,FALSE,Tier 2,7,,20000,"4 Roles - Digital Next, Digital Trust, TT DEQ, GRCS Telecom",FTE + Intern,11,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,SAP Labs,24-09-2024,FALSE,Tier 1,25,10,35000,Associate - (Developer /DevOps /Support/QA),FTE + Intern,10,7,FALSE,FALSE,FALSE,"Shortlisted 66 PPL for interviews, 4 Rounds of Interview, Most of the Selected PPL interviews happened back to back, while the others did not get a chance to Interview for 3rd Round also",Cross-College companies info - PES.csv
2025,PES,Toshiba,27-09-2024,TRUE,Tier 2,11,9,20000,Associate Software Engineer,FTE + Intern,7,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,BT Group,30-09-2024,FALSE,Tier 1,13,,60000,,FTE + Intern,10,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Accenture (T2),30-09-2024,FALSE,Tier 3,4,,,,FTE,,6,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Dover (T2),30-09-2024,FALSE,Tier 2,11,,25000,Software Engineer,FTE + Intern,2,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Aveva,08-10-2024,TRUE,Tier 1,15.8,,,Software Developer Graduate,FTE + Intern,4,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Fidelity International (T2),16-10-2024,FALSE,Tier 2,9,8,,Graduate Programmer,FTE + Intern,,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Oracle Financial Services Ltd,25-09-2024,FALSE,Tier 1,19.18,,50000,,FTE + Intern,6,8,FALSE,FALSE,FALSE,"Shortlisted 30 ppl for Interview, Interviews went same Like SAP lab style",Cross-College companies info - PES.csv
2025,PES,ZScaler,29-09-2024,FALSE,Tier 1,,,75000,Intern - Software Development,Internship (PBC),1,7,FALSE,FALSE,FALSE,"Asked 2 DSA (C++/Java) and 2 Core Python questions (1 File handling/CSV handling, 1 DSA)",Cross-College companies info - PES.csv
2025,PES,Komprise,25-09-2024,FALSE,Tier 1,22,17,,"SDE, STE",FTE + Intern,1,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Crestron (T2),23-09-2024,FALSE,Tier 2,8,,30000,"7 Roles - Firmware Developer, Front End Developer, Cloud Developer, Cloud DevOps Engineer, Quality Engineer, Automation (SDET), Security Testing, Cloud Testing",FTE + Intern,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Telstra (T2),04-10-2024,FALSE,Tier 2,10,,,,FTE,10,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,iNube Software Solutions,08-10-2024,FALSE,Tier 1,12,,30000,Software Analyst,FTE + Intern,3,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,McKinsey & Co,28-09-2024,FALSE,Tier 1,12,,20000,Analyst Role,FTE + Intern,3,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Renesas,30-10-2024,FALSE,Tier 1,24,15,45000,"Verification Engineer, Analog Circuit Engineer","FTE + Intern, Internship (PBC)",1,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Broadridge (T2) (Female Only),28-10-2024,FALSE,Tier 2,10,,30000,,FTE + Intern,5,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Safran Technologies (T3),07-11-2024,FALSE,Tier 3,,,,,FTE,,6.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Boomi Software,19-10-2024,FALSE,Tier 1,,,35000,"SE Intern, Systems Intern, Solution Eng Intern",Internship (PBC),6,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Conga Software,19-10-2024,FALSE,Tier 2,10.44,,12000,,FTE + Intern,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,e-Litmus,19-10-2024,FALSE,Tier 1,12,,1200000,Software Developer,FTE + Intern,,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,IDfy (T2),06-11-2024,FALSE,Tier 2,10,,25000,Software Engineer,FTE + Intern,1,6,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
